"","English.Word","anger","disgust","fear","joy","negative","positive","sadness","surprise","Spanish.Word"
"3","abandon",0,0,1,0,1,0,1,0,"abandonar"
"4","abandoned",1,0,1,0,1,0,1,0,"abandonado"
"5","abandonment",1,0,1,0,1,0,1,1,"abandono"
"8","abba",0,0,0,0,0,1,0,0,"abba"
"14","abduction",0,0,1,0,1,0,1,1,"secuestro"
"15","aberrant",0,0,0,0,1,0,0,0,"aberrante"
"16","aberration",0,1,0,0,1,0,0,0,"aberración"
"18","abhor",1,1,1,0,1,0,0,0,"aborrecer"
"19","abhorrent",1,1,1,0,1,0,0,0,"aborrecible"
"21","ability",0,0,0,0,0,1,0,0,"capacidad"
"22","abject",0,1,0,0,1,0,0,0,"abyecto"
"25","abnormal",0,1,0,0,1,0,0,0,"anormal"
"28","abolish",1,0,0,0,1,0,0,0,"abolir"
"29","abolition",0,0,0,0,1,0,0,0,"abolición"
"30","abominable",0,1,1,0,1,0,0,0,"abominable"
"31","abomination",1,1,1,0,1,0,0,0,"abominación"
"33","abort",0,0,0,0,1,0,0,0,"abortar"
"34","abortion",0,1,1,0,1,0,1,0,"aborto"
"35","abortive",0,0,0,0,1,0,1,0,"abortivo"
"37","abovementioned",0,0,0,0,0,1,0,0,"anteriormente mencionado"
"38","abrasion",0,0,0,0,1,0,0,0,"abrasión"
"40","abrogate",0,0,0,0,1,0,0,0,"abrogar"
"41","abrupt",0,0,0,0,0,0,0,1,"abrupto"
"43","abscess",0,0,0,0,1,0,1,0,"absceso"
"44","absence",0,0,1,0,1,0,1,0,"ausencia"
"45","absent",0,0,0,0,1,0,1,0,"ausente"
"46","absentee",0,0,0,0,1,0,1,0,"ausente"
"47","absenteeism",0,0,0,0,1,0,0,0,"absentismo"
"49","absolute",0,0,0,0,0,1,0,0,"absoluto"
"50","absolution",0,0,0,1,0,1,0,0,"absolución"
"51","absorbed",0,0,0,0,0,1,0,0,"absorbido"
"60","absurd",0,0,0,0,1,0,0,0,"absurdo"
"61","absurdity",0,0,0,0,1,0,0,0,"absurdo"
"62","abundance",0,1,0,1,1,1,0,0,"abundancia"
"63","abundant",0,0,0,1,0,1,0,0,"abundante"
"64","abuse",1,1,1,0,1,0,1,0,"abuso"
