"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1","fnENAx3QGVo","Gracias rechazoooooooo de salida por Chile 🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱","Gracias rechazoooooooo de salida por Chile 🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱","Omar Urqueta","https://yt3.ggpht.com/ytc/AGIKgqMs7aWNkoqsBFEGKj478YPVoRKF6YxaZKd_cvJv5GcwVJ7wP1zpddYijRVeBuon=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCvIBVB87w24ynnd-e1eGsbg","UCvIBVB87w24ynnd-e1eGsbg","TRUE","none","1","2022-06-06T05:27:35Z","2022-06-06T05:27:35Z","UgylXqdxoOWk46zHuK14AaABAg",NA,NA
"2","fnENAx3QGVo","Rechazo..","Rechazo..","Pepe Pidal","https://yt3.ggpht.com/FfcwbT0brfRr7qj8iY3_XpuT6wYoFift7qBDpMmOs7o4UDvOH3oDGcqgQ1X5ap-26TpQ3SkXp2c=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCtbB7PEWXBy-FiPv8EoM3Uw","UCtbB7PEWXBy-FiPv8EoM3Uw","TRUE","none","0","2022-05-27T00:04:00Z","2022-05-27T00:04:00Z","UgxIjF51SX3lzu1txuB4AaABAg",NA,NA
"3","fnENAx3QGVo","RECHAZO TOTAL al Mamarracho PROSTITUYENTE indigenista chavista ANTICHILENOS ❌","RECHAZO TOTAL al Mamarracho PROSTITUYENTE indigenista chavista ANTICHILENOS ❌","JORGE ALEJANDRO GIRARDI TOLEDO","https://yt3.ggpht.com/ytc/AGIKgqNdLzYLUEHuXBkQ-xsGgNpehp8tGLZn0iZW_A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC_DMiuxFgMqk3gAJUaYW9EA","UC_DMiuxFgMqk3gAJUaYW9EA","TRUE","none","1","2022-05-23T17:25:54Z","2022-05-23T17:25:54Z","Ugzp08PdcTl_y2BhXop4AaABAg",NA,NA
"4","fnENAx3QGVo","<b>TODOS TENEMOS AMIGOS, CONOCIDOS, FAMILIARES, COMPAÑEROS DE PEGA, ETC QUE NUNCA VOTAN, HAY QUE CONVENCERLOS PARA QUE VOTEN RECHAZO, LA COSA NO ESTÁ GANADA, NO NOS COMPREMOS EL CUENTO, QUE EN LAS ENCUESTAS GANA EL RECHAZO, ACUÉRDENSE QUE LO MISMO DECÍAN DE JAK QUE GANABA. NO NOS DEJEMOS ENGAÑAR, HAY QUE SUMAR Y SUMAR PARA QUE GANE EL RECHAZO Y POR MUCHO, PARA QUE NO NOS PUEDAN HACER FRAUDE....</b>","*TODOS TENEMOS AMIGOS, CONOCIDOS, FAMILIARES, COMPAÑEROS DE PEGA, ETC QUE NUNCA VOTAN, HAY QUE CONVENCERLOS PARA QUE VOTEN RECHAZO, LA COSA NO ESTÁ GANADA, NO NOS COMPREMOS EL CUENTO, QUE EN LAS ENCUESTAS GANA EL RECHAZO, ACUÉRDENSE QUE LO MISMO DECÍAN DE JAK QUE GANABA. NO NOS DEJEMOS ENGAÑAR, HAY QUE SUMAR Y SUMAR PARA QUE GANE EL RECHAZO Y POR MUCHO, PARA QUE NO NOS PUEDAN HACER FRAUDE....*","Bernardo Tapia","https://yt3.ggpht.com/ytc/AGIKgqMYCpoAJU0uI4_5iP4ju46JmR4ZE_EhaCTNcA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCo6nSriDoLXe3PHWFeRnYbw","UCo6nSriDoLXe3PHWFeRnYbw","TRUE","none","2","2022-05-21T03:43:49Z","2022-05-21T03:43:49Z","UgzSl_T4nCnF5kYpT7x4AaABAg",NA,NA
"5","fnENAx3QGVo","Muy buen resume por eso rechazo","Muy buen resume por eso rechazo","Miriam Pacheco","https://yt3.ggpht.com/ytc/AGIKgqOF-WnWfy3RAx1ErXOrRAj2BiLfFPvV_yQaSaERIGUIXST4IQDKruJKD8WBpQGQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UChmUrba__FCrnYu2UBNJAPA","UChmUrba__FCrnYu2UBNJAPA","TRUE","none","1","2022-05-20T17:17:34Z","2022-05-20T17:17:34Z","Ugw9V4obZ-KBzmsYeUJ4AaABAg",NA,NA
"6","fnENAx3QGVo","Vieron que el convencional Jaime Bassa hizo una tabla comprativa entre la vieja y nueva constitución. Ovbiamente está sesgada. Alguien sabe de alguna tabla comparativa bien hecha para ser difundida y compartida?","Vieron que el convencional Jaime Bassa hizo una tabla comprativa entre la vieja y nueva constitución. Ovbiamente está sesgada. Alguien sabe de alguna tabla comparativa bien hecha para ser difundida y compartida?","Giovanni","https://yt3.ggpht.com/ytc/AGIKgqOycOwt6F7owRZ85Q3igbmeV64IaPnevn5Xrw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCMQ20ccPJUFQpTmerjnAPew","UCMQ20ccPJUFQpTmerjnAPew","TRUE","none","2","2022-05-20T00:17:40Z","2022-05-20T00:17:40Z","Ugw2ZVPV-5bB7wCRWa94AaABAg",NA,NA
"7","fnENAx3QGVo","EL RECHAZO TOTAL ES LA ÚNICA SALIDA.","EL RECHAZO TOTAL ES LA ÚNICA SALIDA.","Gustavo Diaz","https://yt3.ggpht.com/ytc/AGIKgqNhFBWgB9p06wvY2czJBjVI6XxjskdjrHdpmQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCo7OHr_6gtRoXTj6jIizNJQ","UCo7OHr_6gtRoXTj6jIizNJQ","TRUE","none","1","2022-05-19T12:02:54Z","2022-05-19T12:02:54Z","Ugz3m2i76wNXt7tVNjB4AaABAg",NA,NA
"8","fnENAx3QGVo","RECHAZOOOO RECHAZOOOO","RECHAZOOOO RECHAZOOOO","Elizabeth Flores","https://yt3.ggpht.com/ytc/AGIKgqMOKZU-CuFK3uHHm6ed-lx9qTs7FY5s1tAdWw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCFWucXb2b4deDWGoE6GQQtg","UCFWucXb2b4deDWGoE6GQQtg","TRUE","none","1","2022-05-18T17:31:35Z","2022-05-18T17:31:35Z","Ugy8NsHVEQA4OHMUzXV4AaABAg",NA,NA
"9","fnENAx3QGVo","Gracias Rechazo rechazo y viva chle","Gracias Rechazo rechazo y viva chle","Hector Cárdenas","https://yt3.ggpht.com/ytc/AGIKgqPuDjZQoVdm6D9A6GtKt4EbcJSi2DFHtjKqE4TEQu9Liduj99GLfRMp3tSsDi5s=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCTDAgkFNEDan1eXmw0tS_8w","UCTDAgkFNEDan1eXmw0tS_8w","TRUE","none","1","2022-05-18T17:11:46Z","2022-05-18T17:11:46Z","UgxbdvX5_iKQnx16FcJ4AaABAg",NA,NA
"10","fnENAx3QGVo","Yo  RECHAZOO LOS CC SON UNA PORQUERIA  ,,,CHILE  ES UNO SOLO","Yo  RECHAZOO LOS CC SON UNA PORQUERIA  ,,,CHILE  ES UNO SOLO","Carmen palacio araya","https://yt3.ggpht.com/AVvG5f_2AGDImv1Va8yKfgi3Q-JztkkGDywWZwmf-p0eg5yOpfMjElLguad53_IGZ6K1O69LTQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC-tvaAunhXERjFy6lgZJqkQ","UC-tvaAunhXERjFy6lgZJqkQ","TRUE","none","1","2022-05-18T16:40:21Z","2022-05-18T16:40:21Z","Ugw8DV6hzvTXf6OqPRl4AaABAg",NA,NA
