"","id","title","date","views","likes","comment_count"
"1","_-pnFUJ0ddk","¡¿QUÉ?! JADUE viaja a VENEZUELA y FELICITA a MADURO y a las FFAA de Venezuela por su ""GESTIÓN"" !!!","2022-04-13T16:48:33Z","2266","145","52"
"2","_vdp2JgpshY","QUIEBRE TOTAL EN LA IZQUIERDA POST RECHAZO: PARTIDO COMUNISTA revela CONVERSACIÓN PRIVADA con BORIC","2022-09-12T23:53:57Z","3179","189","51"
"3","-EEvNie_xxg","COMUNISTAS TRAICIONAN a KAROL CARIOLA y BAJAN SU CANDIDATURA: CARIOLA culpa al PDG y BORIC PIERDE.","2022-11-03T18:30:08Z","2674","265","37"
"4","-HITHHNR-W8","¡LA DERECHA SE QUIEBRA por ACUSACIÓN FALLIDA a JACKSON y REPUBLICANOS le MIENTE a SUS VOTANTES!","2023-01-20T18:00:10Z","1150","163","18"
"5","-qMdSLixJRM","¡ALERTA! PROYECTO DE LEY PERMITIRÍA A PADRES TENER RELACIONES CON SUS HIJOS al NO PENAR el INCESTO","2022-10-04T23:33:15Z","3223","208","50"
"6","01Rxf49fWTw","LA PRENSA ATACA AL PDG y FRANCO PARISI LE MANDA DURO MENSAJE A PERIODISTA MONICA RINCÓN...","2022-10-13T19:40:55Z","25308","1412","251"
"7","06QWoAxqaaw","¡YouTuber PARALELO 33 va a SIN FILTROS y DENUNCIA FRAUDE DE REFICHAJES ILEGITIMOS de POLÍTICOS!","2022-10-13T14:04:02Z","29428","1879","354"
"8","0aZQYF3xAXw","¡PARISI RESPONDE DURAMENTE! EXPULSAN a DIPUTADO de BANCADA PDG y OTROS PIENSAN EN RENUNCIAR...","2022-11-09T20:00:07Z","12055","815","202"
"9","0GkdCxqrEjo","PERIODISTA JUAN MANUEL ASTORGA ATACA al PDG y se DESCUBREN NUEVOS ABUSOS de POLÍTICOS CORRUPTOS...","2022-11-30T19:45:09Z","1667","224","34"
"10","2_yQ8Oju6ZE","PARTIDO COMUNISTA AMENAZA al PDG y MOSCIATTI DESTRUYE EL FUTURO DE CHILE en DURO ANÁLISIS","2022-10-18T01:25:21Z","17982","1227","265"
"11","2c8m0SndRKk","¡POLÍTICOS DE IZQUIERDA Y DERECHA APRUEBAN LEY para PODER ROBAR MILLONES por TIEMPO INDEFINIDO!","2022-12-23T14:15:06Z","9647","948","185"
"12","2MiXKwc1NXs","¡BRUTAL! ALCALDE de RANCAGUA IMPUTADO por FRAUDE MILLONARIO y ESCÁNDALO de CORRUPCIÓN de SOCIALISTAS","2023-03-03T02:29:33Z","1895","241","27"
"13","4AivK0Fl2dE","MOSCIATTI SE BURLA de BORIC, ATACA a COMUNISTAS y a la CONVENCIÓN: ""PODRÍA GANAR el RECHAZO""","2022-02-08T18:17:03Z","4975","268","60"
"14","5gYS4VwnluI","JUECES APLAZAN JUICIO CASO CORRUPCIÓN SQM y POLÍTICOS esconden el FRAUDE más GRANDE en la HISTORIA","2022-12-02T02:28:19Z","1765","214","25"
"15","6-KXybOgq3s","SUBSECRETARIO de BORIC dice QUE NO HAY PRESOS POLÍTICOS MAPUCHE ""SON DELITOS TIPIFICADOS""...","2022-03-17T20:30:05Z","917","73","11"
"16","6W0vfADAP_Y","ROSTRO de LA RED FUNA a FRANCO PARISI por AMENAZAS que RECIBIÓ su FAMILIA y EL PDG revela ESTRATEGIA","2022-11-26T20:00:06Z","4053","355","89"
