"","id","title","date","views","likes","comment_count"
"1","1GiNyI-f7bI","Carlos Alberto Andrews: Gobierno en pañales","2023-04-19T22:00:01Z","7607","891","59"
"2","1GiNyI-f7bI","Carlos Alberto Andrews: Gobierno en pañales","2023-04-19T22:00:01Z","7607","891","59"
"3","1GiNyI-f7bI","Carlos Alberto Andrews: Gobierno en pañales","2023-04-19T22:00:01Z","7607","891","59"
"4","1GiNyI-f7bI","Carlos Alberto Andrews: Gobierno en pañales","2023-04-19T22:00:01Z","7607","891","59"
"5","5DY38BtN7Zs","Carlos Alberto Andrews: ""Aquí no se habla de política""","2022-10-14T18:47:07Z","6130","814","63"
"6","5DY38BtN7Zs","Carlos Alberto Andrews: ""Aquí no se habla de política""","2022-10-14T18:47:07Z","6130","814","63"
"7","5DY38BtN7Zs","Carlos Alberto Andrews: ""Aquí no se habla de política""","2022-10-14T18:47:07Z","6130","814","63"
"8","5DY38BtN7Zs","Carlos Alberto Andrews: ""Aquí no se habla de política""","2022-10-14T18:47:07Z","6130","814","63"
"9","B5knPkftVnw","Carlos Alberto Andrews: El jefe de campaña","2022-08-10T20:43:17Z","4325","660","61"
"10","B5knPkftVnw","Carlos Alberto Andrews: El jefe de campaña","2022-08-10T20:43:17Z","4325","660","61"
"11","B5knPkftVnw","Carlos Alberto Andrews: El jefe de campaña","2022-08-10T20:43:17Z","4325","660","61"
"12","B5knPkftVnw","Carlos Alberto Andrews: El jefe de campaña","2022-08-10T20:43:17Z","4325","660","61"
"13","bi3eyR3ioCw","Carlos Alberto Andrews: Había una vez un Republicano","2023-05-09T19:53:12Z","18344","2062","224"
"14","bi3eyR3ioCw","Carlos Alberto Andrews: Había una vez un Republicano","2023-05-09T19:53:12Z","18344","2062","224"
"15","bi3eyR3ioCw","Carlos Alberto Andrews: Había una vez un Republicano","2023-05-09T19:53:12Z","18344","2062","224"
"16","bi3eyR3ioCw","Carlos Alberto Andrews: Había una vez un Republicano","2023-05-09T19:53:12Z","18344","2062","224"
"17","cpB5lAqUkNo","Carlos Alberto Andrews: Animales privilegiados","2022-03-18T12:00:17Z","11442","944","66"
"18","cpB5lAqUkNo","Carlos Alberto Andrews: Animales privilegiados","2022-03-18T12:00:17Z","11442","944","66"
"19","cpB5lAqUkNo","Carlos Alberto Andrews: Animales privilegiados","2022-03-18T12:00:17Z","11442","944","66"
"20","cpB5lAqUkNo","Carlos Alberto Andrews: Animales privilegiados","2022-03-18T12:00:17Z","11442","944","66"
"21","eZGGMYzhWFw","Carlos Alberto Andrews: Gobierno en manos de la Convención","2022-05-02T20:04:30Z","7878","867","59"
"22","eZGGMYzhWFw","Carlos Alberto Andrews: Gobierno en manos de la Convención","2022-05-02T20:04:30Z","7878","867","59"
"23","eZGGMYzhWFw","Carlos Alberto Andrews: Gobierno en manos de la Convención","2022-05-02T20:04:30Z","7878","867","59"
"24","eZGGMYzhWFw","Carlos Alberto Andrews: Gobierno en manos de la Convención","2022-05-02T20:04:30Z","7878","867","59"
"25","F8tlay9u89c","Carlos Alberto Andrews: La verdad tras los Derechos Sociales","2022-07-26T14:12:25Z","3289","439","28"
"26","F8tlay9u89c","Carlos Alberto Andrews: La verdad tras los Derechos Sociales","2022-07-26T14:12:25Z","3289","439","28"
"27","F8tlay9u89c","Carlos Alberto Andrews: La verdad tras los Derechos Sociales","2022-07-26T14:12:25Z","3289","439","28"
"28","F8tlay9u89c","Carlos Alberto Andrews: La verdad tras los Derechos Sociales","2022-07-26T14:12:25Z","3289","439","28"
"29","FEisI7PSUKU","Carlos Alberto Andrews: La lección que dio Lagos a Boric","2022-07-15T13:00:10Z","7913","980","63"
"30","FEisI7PSUKU","Carlos Alberto Andrews: La lección que dio Lagos a Boric","2022-07-15T13:00:10Z","7913","980","63"
"31","FEisI7PSUKU","Carlos Alberto Andrews: La lección que dio Lagos a Boric","2022-07-15T13:00:10Z","7913","980","63"
"32","FEisI7PSUKU","Carlos Alberto Andrews: La lección que dio Lagos a Boric","2022-07-15T13:00:10Z","7913","980","63"
"33","fesukrjaZtA","Carlos Alberto Andrews: ¿Es cobarde la derecha? Usted juzgue","2022-11-23T19:52:18Z","8770","1098","193"
"34","fesukrjaZtA","Carlos Alberto Andrews: ¿Es cobarde la derecha? Usted juzgue","2022-11-23T19:52:18Z","8770","1098","193"
"35","fesukrjaZtA","Carlos Alberto Andrews: ¿Es cobarde la derecha? Usted juzgue","2022-11-23T19:52:18Z","8770","1098","193"
"36","fesukrjaZtA","Carlos Alberto Andrews: ¿Es cobarde la derecha? Usted juzgue","2022-11-23T19:52:18Z","8770","1098","193"
"37","fnENAx3QGVo","Carlos Alberto Andrews: Lo que no te dicen","2022-05-11T22:30:03Z","23221","1931","156"
"38","fnENAx3QGVo","Carlos Alberto Andrews: Lo que no te dicen","2022-05-11T22:30:03Z","23221","1931","156"
"39","fnENAx3QGVo","Carlos Alberto Andrews: Lo que no te dicen","2022-05-11T22:30:03Z","23221","1931","156"
"40","fnENAx3QGVo","Carlos Alberto Andrews: Lo que no te dicen","2022-05-11T22:30:03Z","23221","1931","156"
"41","I5IvxUL74HA","Carlos Alberto Andrews: Gobierno y convención contra Chile","2022-08-25T19:28:24Z","4250","575","56"
"42","I5IvxUL74HA","Carlos Alberto Andrews: Gobierno y convención contra Chile","2022-08-25T19:28:24Z","4250","575","56"
"43","I5IvxUL74HA","Carlos Alberto Andrews: Gobierno y convención contra Chile","2022-08-25T19:28:24Z","4250","575","56"
"44","I5IvxUL74HA","Carlos Alberto Andrews: Gobierno y convención contra Chile","2022-08-25T19:28:24Z","4250","575","56"
"45","K5Yooi9mVSQ","Carlos Alberto Andrews: Los algoritmos del borrador Constitucional","2022-05-18T18:11:43Z","12676","1182","79"
"46","K5Yooi9mVSQ","Carlos Alberto Andrews: Los algoritmos del borrador Constitucional","2022-05-18T18:11:43Z","12676","1182","79"
"47","K5Yooi9mVSQ","Carlos Alberto Andrews: Los algoritmos del borrador Constitucional","2022-05-18T18:11:43Z","12676","1182","79"
"48","K5Yooi9mVSQ","Carlos Alberto Andrews: Los algoritmos del borrador Constitucional","2022-05-18T18:11:43Z","12676","1182","79"
"49","L-AgTS5VtgM","Carlos Alberto Andrews: Cómo expulsar a un inmigrante ilegal","2022-11-02T21:49:59Z","5306","684","84"
"50","L-AgTS5VtgM","Carlos Alberto Andrews: Cómo expulsar a un inmigrante ilegal","2022-11-02T21:49:59Z","5306","684","84"
"51","L-AgTS5VtgM","Carlos Alberto Andrews: Cómo expulsar a un inmigrante ilegal","2022-11-02T21:49:59Z","5306","684","84"
"52","L-AgTS5VtgM","Carlos Alberto Andrews: Cómo expulsar a un inmigrante ilegal","2022-11-02T21:49:59Z","5306","684","84"
"53","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"54","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"55","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"56","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"57","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"58","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"59","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"60","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"61","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"62","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"63","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
"64","MjmjSEqhCzo","Carlos Alberto Andrews: El cuento público","2022-06-15T14:03:58Z","3736","470","28"
