"","id","title","date","views","likes","comment_count"
"1","_QwbXAPvVIw","En Chile no se solucionan los probelmas de la gente. Giancarlo Barbagelata","2022-10-17T06:04:57Z","330","31","5"
"2","0zzHtVOo8sg","El socialismo aumenta la pobreza. Giancarlo Barbagelata","2022-09-07T21:30:23Z","821","68","5"
"3","1sT3PibOYS4","Barbagelata: ""Hay que seguir la ruta del dinero... OJO CIPER"" | BADBOYS","2022-06-27T18:08:08Z","3966","299","9"
"4","1sT3PibOYS4","Barbagelata: ""Hay que seguir la ruta del dinero... OJO CIPER"" | BADBOYS","2022-06-27T18:08:08Z","3966","299","9"
"5","1sT3PibOYS4","Barbagelata: ""Hay que seguir la ruta del dinero... OJO CIPER"" | BADBOYS","2022-06-27T18:08:08Z","3966","299","9"
"6","1sT3PibOYS4","Barbagelata: ""Hay que seguir la ruta del dinero... OJO CIPER"" | BADBOYS","2022-06-27T18:08:08Z","3966","299","9"
"7","1xBXN9-jRI8","¿Quieren desarmar a los que se desean defender? Broma?  Giancarlo Barbagelata","2022-06-07T18:18:02Z","2417","263","35"
"8","3oHjINWI85w","Lo de Illapu es faltarle el respeto a la gente.","2022-08-01T06:51:52Z","2439","232","54"
"9","5aspaz3Ku0M","Boric debe ser un buen tipo pero tiene ideas muy fracasadas. Giancarlo Barbagelata","2022-10-17T05:59:50Z","434","36","1"
"10","8-sNArctu-4","Abandonar nunca. Giancarlo Barbagelata","2022-11-10T01:00:26Z","4091","300","100"
"11","AQ0DitLpv4g","La izquierda ama el dinero y la empresa. Giancarlo Barbagelata","2022-12-28T20:18:58Z","801","97","16"
"12","B9yXVYQdZxE","Un político nunca va a querer bajar impuestos. Giancarlo Barbagelata","2022-10-20T23:28:45Z","859","94","9"
"13","be--J-6V_pM","El fracaso de la justicia social en Argentina es monumental. Giancarlo Barbagelata","2022-12-04T23:03:33Z","828","87","1"
"14","BueyzWrVYKk","¿A qué se enfocará la Franja del Partido de la Gente? Giancarlo Barbagelata","2023-04-10T07:56:35Z","188","33","2"
"15","Cs3LvWTnIPA","La educación hay que nivelarla hacia arriba, no hacia abajo. Giancarlo Barbagelata","2022-09-29T04:09:47Z","719","61","2"
"16","DdeUF-bmR7A","GIANCARLO: SIEMPRE PIERDE LA CLASE MEDIA, EL CIUDADANO NORMAL | BADBOYS","2022-06-06T19:35:18Z","2617","172","9"
"17","DLIiwIQhcR4","Para que privatizar o estatizar el Agua si no hay agua. Giancarlo Barbagelata","2022-10-17T05:50:28Z","281","29","0"
"18","EIdJCVWeHD0","En Chile tenemos un problema cultural: se odia al exitoso. Giancarlo Barbagelata","2022-10-17T06:23:09Z","722","67","4"
"19","FBBOMeqVXVM","Chile está muy lejos de ser el país más desigual del mundo. Ellos mienten. Giancarlo Barbagelata","2022-10-17T05:47:26Z","591","84","2"
"20","Fx9CrKw3bkY","El PDG es la única oportunidad real de participar en política en Chile sin pituto.  Barbagelata","2022-09-24T21:50:02Z","2534","269","10"
"21","GmwfzJOtjMs","Clase magistral sobre el impacto de un sexto retiro en la inflación. Giancarlo Barbagelata","2023-04-19T21:27:38Z","36031","1167","262"
"22","hCJeLN-Yhs8","Llenar de ambulantes no te hace un buen alcalde, sino todo lo contrario. Giancarlo Barbagelata","2022-12-02T16:56:58Z","881","73","5"
"23","HjYwMFAjEyA","El Partido no está ganado. La izquierda no sabe gobernar pero sí hacer campañas. G Barbagelata","2022-08-01T06:52:29Z","1243","134","5"
"24","jvsrQO9tkUY","Chile dentro de los 20 paises con mas terrorismo del mundo. Giancarlo Barbagelata. Sin Filtros","2022-11-17T03:09:59Z","1031","84","22"
"25","KG4zcN0URzE","Desmintiendo al Ministro Marcel. Giancarlo Barbagelata","2023-04-28T04:59:14Z","3325","477","24"
"26","KiTNxByeHn8","La importancia de los objetivos en la educación financiera. Giancarlo Barbagelata","2022-10-16T23:31:21Z","843","92","3"
"27","KjZcViYBUbQ","Giancarlo: ""En Valpo y Viña hay un miedo desatado a la delincuencia"" | BADBOYS","2022-07-21T16:51:29Z","1634","123","9"
"28","l2z9z1QKQ4Y","ALERTA DEPOSITOPLACISTAS DE CHILE. Giancarlo Barbagelata","2023-04-28T21:38:44Z","2715","304","12"
"29","LvK5KjrONnc","Falta valentía para opinar de política en Chile. Giancarlo Barbagelata.","2022-09-07T04:32:05Z","1219","149","9"
"30","lZWGNugM9qY","Si tienes algo de ahorro en la cuenta, sácalo ahora. Giancarlo Barbagelata.","2022-12-30T22:18:34Z","16431","1270","77"
"31","mpyi4S1b2IQ","Giancarlo: ""Giorgio Jackson le mintió a todo Chile"" | BADBOYS","2022-08-16T22:22:25Z","5124","494","29"
"32","MR7RaDJYqwM","Si Boric llevara su curriculum a una panadería, no lo habrían contratado. Giancarlo Barbagelata","2022-10-17T05:57:43Z","754","54","4"
"33","N4-oTE5FuGo","Este gobierno nos mintió. Giancarlo Barbagelata","2023-03-15T19:13:05Z","717","93","4"
"34","NI4L_gcK9R4","Personas más educadas financieramente y empresas más humanas. Giancarlo Barbagelata","2022-10-04T22:44:22Z","816","84","3"
"35","nLE-cI0ZC44","Los impuestos no se pagan, se traspasan y los paga el último de la cadena. Giancarlo Barbagelata","2022-10-22T21:42:17Z","1596","136","48"
"36","Ny3GgrdEEng","Cuál es la diferencia del PDG con el resto de los Partidos. Giancarlo Barbagelata","2023-03-27T05:03:43Z","678","69","6"
"37","oFY-GT6N9YA","Las funas no son el camino. El rumbo es el diálogo y la educación. Giancarlo Barbagelata","2022-10-17T05:43:02Z","340","28","2"
"38","OjKJVr_ah28","Los. jóvenes son socialistas porque no saben qué es el socialismo. Giancarlo Barbagelata","2022-09-07T21:25:34Z","1047","145","11"
"39","p7j9i7sLENc","¿Donde hacen los chanchullos los municipios? . Giancarlo Barbagelata explica.","2022-09-30T16:45:58Z","1387","131","7"
"40","PlIpOfU9FbM","Giancarlo: Si puedes comprar una propiedad,  HAZLO!! | BADBOYS","2022-06-17T15:32:49Z","1826","119","17"
"41","pMbtS50p_u8","Quieren que 5 personas pasen por arriba de 13 millones. Giancarlo Barbagelata","2022-09-29T04:08:49Z","782","66","4"
"42","S8gkdUmiDKY","Cuando crece el #Estado ganan los #politicos no la gente. Giancarlo Barbagelata","2022-08-28T18:58:48Z","594","77","2"
"43","wslvTOdwiXM","Dejen de mentir. El 6% no es algo solidario. Giancarlo Barbagelata sobre reforma pensiones.","2022-11-14T01:02:09Z","1289","124","15"
"44","X_G6YIaz7tw","El nuevo proceso #Constitucional carece de toda legitimidad. Giancarlo Barbagelata","2022-12-26T22:13:50Z","1332","141","8"
"45","xcMXUeRXg7U","Nadie reclama por propiedad privada porque no saben lo que significa. Giancarlo Barbagelata","2022-08-30T23:44:25Z","541","54","1"
"46","xHq0viK1qdk","¿Es necesario la paridad de género? Giancarlo Barbagelata","2022-09-12T17:15:45Z","1127","89","8"
"47","yfllQaPwtvY","Todas las demandas sociales son porque la plata no te alcanza. Giancarlo Barbagelata","2022-11-03T21:28:19Z","2136","167","83"
"48","zujQJJrOFQg","Subir impuestos a las empresas, sube los costos que terminas pagando tu. Giancarlo Barbagelata","2022-07-28T01:34:28Z","1067","106","4"
