"","id","title","date","views","likes","comment_count"
"1","8Fg44VMrNBQ","Rocío Cantuarias: Más Carabineros, menos Convencionales","2022-04-27T20:50:01Z","11960","1649","177"
"2","9S21RWsRN64","Rocío Cantuarias: La Constitución está escrita","2022-04-12T23:00:04Z","34662","3458","464"
"3","Admpb5RxaD0","Rocío Cantuarias SE BURLA de Nuevos Cargos Políticos Creados por la Izquierda","2022-03-28T20:51:05Z","91809","5524","930"
"4","Au9oB9NMdMA","Rocío Cantuarias: Así se hacen las trampas","2022-05-05T00:00:05Z","42653","3324","257"
"5","bLRu9XivQFQ","Cantuarias en el último pleno de la CC: ¡Debería darles vergüenza!","2022-05-16T23:02:48Z","55319","5054","464"
"6","C6M3LMktSkc","Rocío Cantuarias DESENMASCARA la Estafa Plurinacional","2022-04-12T21:03:01Z","53850","4310","536"
"7","e_39GA7EbSA","Rocío Cantuarias: ""Flamante embajadora""","2022-03-23T22:16:28Z","64452","3631","371"
"8","e4psjnu-O8k","Cantuarias durísima contra la educación sexual integral","2022-03-16T22:36:06Z","31187","2909","331"
"9","EsHnYR52iMU","Rocío Cantuarias: Convencionales preparan dictadura en Chile","2022-03-24T19:00:08Z","43296","2985","389"
"10","fwmyw7t7ZWo","Rocío Cantuarias deja al descubierto a Boric y la CC","2022-04-05T21:22:25Z","61707","4349","393"
"11","iggcwCX_kqE","Cantuarias ENCARA a Indígenas Farsantes en la CC","2022-03-30T23:10:45Z","206896","13777","1732"
"12","Jvrm_TyjT-g","Rocío Cantuarias: Discurso de cierre","2022-07-01T18:13:15Z","4251","750","78"
"13","KZWaFvmHmYs","Rocío Cantuarias a la CC: ""Sus mentiras están quedando al descubierto""","2022-04-21T21:45:51Z","36087","3069","279"
"14","MoP9n5w98TU","Rocío Cantuarias: Convencional Miranda evade preguntas desde el metro","2022-03-25T00:29:58Z","53103","2388","234"
"15","mVxUQzpixdM","Rocío Cantuarias | Inmigración ilegal: La indignidad de Chile","2022-04-19T23:00:23Z","21223","1985","265"
"16","oPnnh32BqpU","Rocío Cantuarias: No nos dejaremos engañar por sus pluri-tonteras","2022-04-18T21:10:17Z","46772","4308","572"
"17","QDjmvN0iAgo","Rocío Cantuarias hace público el resentimiento de los convencionales","2022-04-07T17:27:34Z","90146","7476","1025"
"18","SHGiKAg-BxQ","Rocío Cantuarias: Gobierno aplica plan de censura","2022-11-17T18:29:24Z","19631","2375","254"
"19","tEQwzp4tUMg","Rocío Canturias - Los nuevos impuestos que deberás pagar","2022-04-17T18:08:19Z","79527","4627","409"
"20","XBAhTP6fJhY","Rocío Cantuarias a la CC: ""Nos han sorprendido""","2022-05-03T18:48:17Z","36061","2881","246"
