"","id","title","date","views","likes","comment_count"
"1","-gaEq9GevCk","Tere Marinovic: Ya no será la Constitución de Atria","2022-03-31T13:39:03Z","93294","6974","742"
"2","1Ft8XfzC5QY","Tere Marinovic: ""No quiero saber más de política""","2022-11-25T14:08:34Z","81108","9004","999"
"3","1MGbkft_RL4","Tere Marinovic: Los constituyentes que son impostores","2022-06-30T17:41:26Z","22042","2963","307"
"4","3SuE9iO5x2Y","Tere Marinovic: Por qué le creemos a un mentiroso","2022-11-18T13:59:17Z","56761","4946","528"
"5","3vO9jOROVTs","Tere Marinovic: Boric y Chile Vamos se creen dueños del RECHAZO","2022-09-08T01:11:34Z","97424","8222","1502"
"6","6jwH4a0rYD8","Tere Marinovic: Boric y Chile Vamos coludidos","2022-09-09T23:38:45Z","99102","8519","1318"
"7","7tJ_5XK9ntI","Tere Marinovic: Chile Vamos no aprende","2022-12-16T21:00:07Z","52047","5558","737"
"8","8gWfMD_b_Ic","Tere Marinovic | Mar para Bolivia: ¿otro regalo de la CC?","2022-04-11T22:03:42Z","76521","5507","823"
"9","8TkL3mE3Nyk","Marinovic a la CC: ¿A correr bala nomás?","2022-03-16T22:18:57Z","84010","6185","945"
"10","A5m0dHUe8Ew","Marinovic: ¿Ustedes están locos?","2022-04-19T15:55:41Z","63351","5879","678"
"11","BQDXk-gEa64","Tere Marinovic frena en seco carcajadas de la CC","2022-03-15T21:46:46Z","239944","13506","1592"
"12","BtfFv449oJw","Tere Marinovic | ¡Camila, eres LA REINA de las Fake News!","2022-12-02T17:00:11Z","47259","5874","619"
"13","C99XNkt_wgA","Tere Marinovic: El que reparte se lleva la mejor parte","2022-04-19T21:00:05Z","77432","4715","481"
"14","EI5bUkLeBe0","Tere Marinovic | Recorrí Chile: esto me dijeron","2022-08-30T19:00:13Z","108847","9888","1095"
"15","eyM5zczUX_c","Tere Marinovic | Boric abre nueva puerta a inmigrantes ilegales","2022-04-26T19:44:31Z","46853","4177","501"
"16","Fi0ITqSZIUA","Marinovic critica a la Derecha y entrega todos sus sueldos","2022-06-25T17:39:30Z","64336","6593","889"
"17","Ga4L0IKafe4","Tere Marinovic: Los verdaderos favorecidos con la nueva Constitución","2022-03-28T14:18:52Z","50061","3529","405"
"18","h0A48ZGzhh0","Tere Marinovic: Octubrismo ABC1","2023-04-14T17:36:27Z","75268","7397","831"
"19","HNf2sRwUcx0","Tere Marinovic: Nunca tantos han debido tanto a tan pocos","2022-04-27T17:23:24Z","33559","3773","440"
"20","iA61KyRAp90","Tere Marinovic | Boric: Mentiroso, Mentiroso","2022-07-08T22:27:25Z","53341","5776","476"
"21","iVV5Wh3l9So","Tere Marinovic: ¡Ganamos, pero seguimos!","2022-09-06T01:40:48Z","88083","11135","1799"
"22","kBApsFg_0qI","Tere Marinovic: La ira de Bessy","2022-03-23T11:00:19Z","154950","7020","2086"
"23","LoakgWcpbF8","Tere Marinovic Dispara a Convencionales por Derechos Sociales Excluidos","2022-04-07T17:46:41Z","37490","3390","329"
"24","N0irPr-cR4Q","Tere Marinovic | Cuicas desconectadas: Así son las políticas que se llaman feministas","2023-03-08T10:00:12Z","84043","7485","740"
"25","N9QXjq3s7-I","Tere Marinovic | Riesgo de Fraude Electoral","2022-08-16T17:44:05Z","133429","4284","517"
"26","NR8tZNubzaQ","Marinovic hace denuncia al CNTV por falsedad en la franja del Apruebo","2022-08-09T19:21:11Z","50188","5883","517"
"27","nWEkUrSu6M4","Tere Marinovic: Les vamos a ganar, de nuevo","2023-04-28T14:43:34Z","89193","7965","1162"
"28","oUINNep1QHw","Tere Marinovic: ""¡No te acepto lo de extrema!""","2023-05-11T22:00:33Z","51439","5640","627"
"29","q6tdyuXwH6g","Tere Marinovic a la CC: ""Ustedes han sido más destructivos que cualquier terremoto""","2022-05-03T00:34:28Z","56631","5446","757"
"30","qak37Wwk7pA","Tere Marinovic: No soy yo la que se resiste al cambio","2022-09-14T20:37:07Z","56659","5631","783"
"31","rSGJv6vIw2A","Tere Marinovic sobre manual inquisidor de Izkia Siches","2022-03-24T17:00:36Z","107104","7186","655"
"32","RSuEFTt77L0","Tere Marinovic - Lo lograron: se echaron los derechos sociales","2022-05-02T21:41:29Z","90259","6453","624"
"33","S1nNOcsxeYY","Tere Marinovic | ¿Boric pagó su deuda?","2023-01-06T23:10:48Z","115072","6662","770"
"34","tRS_c4EzLVI","Tere Marinovic revela letra chica en la CC","2022-04-05T19:33:23Z","97821","7752","971"
"35","TuKEjWmZTw8","Tere Marinovic: 15 Delirantes demandas indigenistas en la CC","2022-03-29T18:38:51Z","100795","6543","1253"
"36","U81hHT15_AI","Tere Marinovic | Piñera, el TITIRITERO de Chile Vamos","2022-12-30T23:27:06Z","47868","4311","672"
"37","xD4I5KEOZEg","Tere Marinovic: Boric paga su deuda a los ""Presos Políticos""","2022-03-23T00:08:29Z","55117","3787","471"
"38","XJWNFnoIETY","Tere Marinovic: La gran estafa de la Pluri-Nación bananera","2022-04-19T18:19:28Z","37391","3318","279"
"39","yK_DEtg-t3U","Tere Marinovic: ""Están hablando pelotudeces""","2022-04-18T15:50:44Z","127456","12000","1536"
"40","YSW64PZhkb4","Tere Marinovic: Chile arde y Boric aprovecha","2023-02-17T17:07:52Z","60001","6522","737"
"41","YXcV5RjkP_Q","Campaña ""Sociotón FNM""","2022-11-24T15:46:44Z","3063","459","21"
