"","id","title","date","views","likes","comment_count"
"1","20iTCG7iBUA","Un, dos, tres, momia es","2023-02-25T02:30:07Z","334728","11474","1818"
"2","27ctugDSooA","El apruebo puede ganar el plebiscito","2022-05-21T01:15:00Z","332815","8608","4610"
"3","29WsrvmYOro","Boric: los tropiezos de los primeros días","2022-03-19T14:39:29Z","368276","9436","1929"
"4","2O8IXsAOyc4","Giorgio fuera de juego/asume Boric","2022-08-06T02:30:09Z","482125","14160","1455"
"5","2U0v8mUi0-8","¿Y ahora qué?","2022-09-10T00:30:12Z","809092","22225","2658"
"6","3QngCpBN9ao","Contradicciones presidenciales","2022-06-24T23:00:12Z","316513","9669","1196"
"7","44J-78RvHwM","¿Y si no hay nueva Constitución?","2023-04-29T03:45:07Z","416751","12604","2142"
"8","5kHcGQhwh40","Mentira no fue... es solo política","2023-03-18T02:45:07Z","297408","10052","1140"
"9","6gElqOntDYI","Un grupo de sonámbulos","2022-10-17T23:00:09Z","394569","15955","2085"
"10","8WIDoHFYqNE","Una gelatina en La Moneda","2022-10-29T00:30:09Z","481382","16350","2130"
"11","9E-DymwHONI","La opción del gobierno: hay que entregarse al delincuente","2022-06-18T00:00:21Z","365617","16681","2763"
"12","9qiQvB4jhsA","Cada gobierno tiene sus propios muertos","2022-07-02T12:47:12Z","290337","9743","1578"
"13","AI_VS6Cj9oo","El alcalde Carter en ventaja","2023-03-25T02:45:11Z","427068","14154","1765"
"14","AUQTY78OfnE","Disquisiciones constitucionales","2022-04-22T22:00:13Z","331384","10360","1898"
"15","BdKbrP1s5sQ","O renuncia o la despiden","2023-02-18T02:00:07Z","368042","13250","1556"
"16","D3v9rc4GpPg","¿Desea el gobierno que se cumplan las leyes?","2022-11-18T23:15:10Z","256240","11036","1333"
"17","DiI9NUtzFN8","La Araucanía será independiente","2022-05-28T01:00:12Z","348579","10585","2212"
"18","H7Eir-qluZQ","Todos somos amigos","2022-10-01T00:30:13Z","380907","16813","2409"
"19","HL2Qvzw9Jyw","Se arma la oposición a Boric","2022-03-11T23:07:09Z","696355","15156","4004"
"20","HZUTdKM7CHA","Contradicciones","2022-12-03T01:15:06Z","265429","9577","1057"
"21","I9BxL9CPNnI","El gobierno y la Convención en caída casi libre","2022-04-09T12:37:22Z","898435","21117","3913"
"22","IKcA5N0lS1I","Chile en una probeta","2022-06-11T01:30:11Z","302746","10997","2151"
"23","JfdxwNoATiQ","El Gobierno y su grieta","2022-09-24T01:15:12Z","470446","17207","1919"
"24","JSdrtSElN-8","ELECCIONES: BORIC Y LA LEY DEL PENDULO","2023-05-06T04:06:06Z","285432","9180","1601"
"25","kj8hRjBvPbI","Caos","2022-10-08T01:30:12Z","642103","21393","2912"
"26","LVEoiUGgET8","¿Se salva Boric?","2022-12-24T01:30:09Z","392665","12478","1646"
"27","Mgcrb4tujvk","Boric comenzó la campaña del apruebo","2022-06-04T01:45:11Z","295793","8480","1992"
"28","oOaK3yltrZo","Chile: momentos de gran inestabilidad","2022-07-09T01:30:11Z","644239","15809","1997"
"29","pilmy3WBDpY","Presidencia: ambigüedad, indecisión y vacío de poder","2023-04-15T03:30:09Z","302759","12047","1496"
"30","pLPLAQxPcaQ","Camino a la destrucción total","2023-02-11T01:00:07Z","366546","13949","2049"
"31","PqArtXDCK-c","¿Gabriel Boric aceptará ayuda?","2022-08-20T01:00:16Z","359140","13615","2122"
"32","pQkrL-82x7M","¿Boric hace intervencionismo electoral?","2022-07-30T03:29:33Z","341377","13825","1807"
"33","QiY8O-S7XhQ","Boric en su laberinto y la salida plebiscitaria","2022-09-03T02:00:12Z","499822","15778","1903"
"34","QxgSSqseZCA","Gabriel Boric... ¿vuelve a ser solo un líder estudiantil?","2022-07-23T02:30:13Z","528271","18482","2061"
"35","QySXHwwGN9M","¿Es que ya no hay vuelta?","2022-11-05T01:30:10Z","529643","16822","1922"
"36","RdisQUAvdVg","La tensa calma que debe gestionar Boric","2022-11-26T02:00:07Z","305939","10817","1106"
"37","RSTL6rpjF-g","¿Fue solo un mal entendido o un engaño?","2023-04-22T03:30:07Z","355671","10347","1069"
"38","s2NIGPa2v7U","Aunque parezca Ciencia Ficción: Escenarios posibles","2022-04-15T00:35:11Z","650911","16019","3123"
"39","Sdryz-cO9Bk","¿Es capaz Boric?","2023-03-04T02:30:10Z","332699","10615","1531"
"40","UfF8DwLCjlg","Boric de rodillas","2023-04-07T20:30:09Z","528168","21173","3365"
"41","uiD9ssD5XKU","Boric en caída y la derecha se alegra (tontamente)","2022-05-07T00:45:18Z","561479","12336","3586"
"42","uL4kyVa6bdU","Del fracaso de la tributaria a un gabinete desabrido","2023-03-11T02:30:08Z","332829","11869","1367"
"43","v-ZLcMXpBkA","¿Quién ganará las elecciones?","2023-04-01T03:00:08Z","397922","11018","1542"
"44","v3F0kq1DAOo","¿Una Constitución para la guerra?","2022-03-26T06:08:53Z","373970","9935","2165"
"45","w7JxvuYQMDg","Boric tenía plan B","2022-07-16T01:30:14Z","661662","16799","2458"
"46","wfu0KYWHssM","Problemas de gestión","2022-12-22T19:54:02Z","87803","2839","197"
"47","X9o5hb82E7U","Es un asunto moral","2023-02-04T00:30:08Z","326062","13337","1322"
"48","XtZ1xM9e55s","Peticiones varias","2022-11-11T22:30:08Z","256952","9836","1109"
"49","ZcatsXmNpOY","El rechazo ya es (casi) ganador","2022-08-13T00:00:12Z","702885","23164","2741"
"50","zIioYl4ets0","Boric: el estallido social no fue anticapitalista","2022-10-22T00:00:07Z","356371","12326","1357"
"51","ZvpdMfTrEwQ","A Boric le quedan semanas","2022-09-16T00:30:15Z","921638","33020","4806"
