"","id","title","date","views","likes","comment_count"
"1","_4xihbucPEo","El Gobierno y el Viejito Pascuero | La columna de Patricio Navia","2022-12-23T18:30:07Z","9041","531","33"
"2","_yNcGYb0EY0","La columna de Patricio Navia | Con más del 38%, el Gobierno cantará victoria","2023-05-02T17:30:11Z","38960","1192","227"
"3","-JfpbnKkq48","2023: El año de la marmota | La columna de Patricio Navia","2022-12-30T14:31:24Z","21759","912","107"
"4","0uwVOMFDEus","Mueran las AFP, pero viva la capitalización individual | La columna de Patricio Navia","2022-11-04T20:00:11Z","8766","448","61"
"5","1OyTigVB0Gk","La columna de Patricio Navia: La amenaza republicana","2023-04-28T14:59:15Z","93487","4072","866"
"6","23yhFr4fusw","La columna de Patricio Navia: La normalización del piedrazo a la autoridad","2022-04-22T15:48:55Z","22788","1408","201"
"7","2dmMvVoyG9U","El mejor vocero del Rechazo es Boric | La columna de Patricio Navia","2022-07-23T18:00:13Z","40202","1838","373"
"8","2G9e9uqnWmE","Si no te la puedes, invoca a Allende | La columna de Patricio Navia","2023-02-21T19:00:09Z","26765","1235","157"
"9","2hgsTcZgjkk","Patricio Navia: El desafío de la campaña del Rechazo","2022-05-21T00:15:12Z","47280","2653","426"
"10","367EijdUVYs","Patricio Navia: Las prioridades de la gente | La columna de Patricio Navia","2022-09-27T23:00:12Z","12482","736","136"
"11","4Cn_4wabc10","Indulten a Boric | La columna de Patricio Navia","2023-01-10T17:30:07Z","36269","1453","158"
"12","5o-p__VUZDc","El tiempo juega a favor de la constitución actual | La columna de Patricio Navia","2022-10-25T17:55:19Z","11318","813","101"
"13","61_tIqgv9SI","Revalorizando la democracia representativa | La columna de Patricio Navia","2022-12-09T20:30:10Z","1638","154","14"
"14","7f5U5PfG2_0","Boric le resta más de lo que le suma al Apruebo | La columna de Patricio Navia","2022-08-19T18:00:08Z","44933","2306","306"
"15","7J9VzhhNvlI","La imbecilidad que afecta al país | La columna de Patricio Navia","2022-11-29T17:00:09Z","17638","820","49"
"16","7JsBiSg_UQE","La columna de Patricio Navia | De la Constitución de Pinochet a la de Kast","2023-05-09T15:00:23Z","59988","2407","480"
"17","8jqr4LJpiuU","Gabriel Boric y Héctor Llaitul | La columna de Patricio Navia","2022-07-29T16:00:14Z","37925","2313","227"
"18","8ZLHkiVmnd4","Boric: El primero en saltar del barco de la Convención | La columna de Patricio Navia","2022-07-05T23:00:10Z","62126","2963","419"
"19","a0pUdgWw1nU","Las amenazas vacías de Boric | La columna de Patricio Navia","2023-03-28T21:00:08Z","37991","1850","179"
"20","ar8Najwh9R4","Más aburrido que bailar con la nueva Constitución | La columna Patricio Navia","2023-02-07T17:00:09Z","6639","376","40"
"21","AudnK16KYgk","El Apruebo y el Rechazo a la profanación de la bandera | La columna de Patricio Navia","2022-08-31T23:00:13Z","15889","737","80"
