"","id","title","date","views","likes","comment_count"
"1","_hwuEJMnVuw","Ítalo Omegna: Sheriff mentiroso","2022-10-28T18:22:58Z","6238","792","82"
"2","-E9yesPSUoc","Ítalo Omegna: Karol Miseria","2022-11-07T20:38:43Z","15068","1577","300"
"3","2DJ8cTDRqSQ","Ítalo Omegna: El plan de Boric para ser popular","2023-01-19T19:43:06Z","5202","747","49"
"4","2kFGQuNWyQk","Ítalo Omegna: Los engaños del Gobierno","2022-04-21T21:20:01Z","15563","1565","110"
"5","57Yj20Dm4T0","Ítalo Omegna: ¿Día del trabajador?","2023-05-02T21:38:28Z","2981","563","33"
"6","67DUvnyYkOI","Ítalo Omegna: Con el terrorismo no se negocia","2022-03-17T19:34:37Z","7677","786","45"
"7","a1IdcRiYIUs","Ítalo Omegna: El fetiche de los políticos","2022-10-04T22:49:04Z","3374","544","31"
"8","CSakh-QNoGs","Ítalo Omegna: Para tu amigo progre","2022-05-30T17:14:50Z","13570","1673","102"
"9","iSLhxV827MA","Ítalo Omegana | litio: Revolución o Revolución","2023-05-03T20:59:19Z","2070","308","19"
"10","JaEMDLTgrMY","Ítalo Omegna: El partido de nuestras vidas","2022-09-15T14:01:30Z","4353","591","53"
"11","LUcAlnj2Asg","Ítalo Omegna: Realidad vs Tv","2022-04-28T19:00:40Z","17259","1745","148"
"12","PyFnie96dnw","Ítalo Omegna: ¿Qué le pasó a Yáñez?","2023-04-03T19:05:34Z","38346","2702","345"
"13","QmgCHXJP7ZY","Ítalo Omegna: El buen salvaje","2023-01-05T19:31:53Z","6538","863","53"
"14","SKirI9q64ec","Ítalo Omegna | Chile: Amnesia colectiva","2022-11-29T13:11:55Z","9392","1017","96"
"15","TnDzfJm-61A","Ítalo Omegna: La mayor farsa mediática de nuestra historia","2022-08-18T20:59:32Z","10914","1336","88"
"16","zvDcwXcKgws","Ítalo Omegna: Derecha Cobarde","2022-07-18T21:26:40Z","10681","1463","173"
