"","id","title","date","views","likes","comment_count"
"1","_-GJnZnL0cE","El gobierno de losTres Doritos después. Franco Parisi deja en evidencia a Toha.","2023-04-10T01:27:11Z","1501","191","12"
"2","_yFtKE99DhQ","Chile se juega mucho el 7 de mayo. Franco Parisi en TVN 2023","2023-04-24T00:55:03Z","1720","135","9"
"3","-OiIhIDu8IE","Chile está de Luto","2023-03-15T19:18:06Z","3510","576","25"
"4","0AjiJmPvq1E","se vienen sorpresas","2022-07-26T05:34:24Z","5938","577","57"
"5","3a-MFiMd2qk","Urgente delegada de Boric debe renunciar. Franco Parisi.","2022-12-24T02:45:53Z","5674","530","29"
"6","5_5A8j5nwhg","El gobierno de Boric no ha sabido generar dinero, solo destruir","2022-06-24T18:47:04Z","2236","165","10"
"7","6iCqvY6xmQk","2.300 millones de pesos, vale la seguridad de Arica para este Gobierno | BADBOYS","2022-07-05T16:09:07Z","2555","256","17"
"8","6nPIwOE7-Eo","Se acabó Boric volvió Bachelet.","2023-03-15T19:21:22Z","3662","417","27"
"9","9OAaszi-M0I","Franco Parisi anticipa el 2023. guarden este video.","2022-07-04T01:54:17Z","49035","3102","350"
"10","9vbjo7X99NM","Ministro Marcel está perdiendo mucha credibilidad | BADBOYS","2022-07-09T17:19:51Z","7555","596","34"
"11","agP8LntK-Cc","Arica tiene un potencial único | BADBOYS","2022-07-26T16:32:38Z","1845","181","12"
"12","b-IsQsqn8mo","Por qué hay tanta violencia en Chile?","2022-03-23T06:04:52Z","1582","107","8"
"13","baE0Q4mqOGg","Franco Parisi alerta a la clase media.","2023-04-04T23:09:21Z","764","111","5"
"14","D1kVEHGJXnI","SI HABLAMOS CON LA VERDAD LA DERECHA AQUÍ TAMBIÉN ES CULPABLE","2022-06-07T00:34:39Z","3849","277","19"
"15","eGY-EVMpRNw","HAY CONTRADICCIONES EN LAS PALABRAS DEL PRESIDENTE DE CODELCO | BADBOYS","2022-06-27T17:12:15Z","2111","189","4"
"16","esFYEJxmQrY","Descarto tajantemente que Grau sepa algo de economía y finanzas | BADBOYS","2022-07-07T19:39:29Z","11289","1003","48"
"17","fnLUiEm6BGc","Camisa de fuerza a Carabineros intenta Boric con Ley","2023-04-11T22:27:41Z","654","70","4"
"18","GL-0XDDBWRg","Faltan más héroes en Chile | BADBOYS","2022-08-09T21:22:11Z","1756","140","9"
"19","gVaPoZfspDQ","La derecha se arranca de los problemas sin enfrentar la realidad de Chile | BADBOYS","2022-08-08T18:04:48Z","3588","274","22"
"20","HzStZ4_CG0A","Parisi, no veo buena salida a esto.","2023-03-30T16:25:23Z","2827","267","11"
"21","iAfARZv-PcM","La economía chilena está con un TREMENDO problema | BADBOYS","2022-08-26T20:12:35Z","6009","414","28"
"22","j_j3iJeBg9c","En Chile cualquier cosa puede pasar | BADBOYS","2022-07-27T16:18:14Z","5173","398","25"
"23","JCENrI6l3W0","Atención Chile. Noticia último minuto en Rusia.","2022-09-23T22:46:04Z","8153","901","59"
